Pavadinimas,Iprastine kaina,Kaina su nuolaida
"ACORUS BALANCE IMMUNO SHOTS, skystis, 25 ml, 14 vnt.","24,95€",
"MARSIEČIAI IMUNACTIV, braškių skonio, 30 kramtomųjų tablečių","11,60€",
"LIFEPLAN VITAMINAS D3, 4000 TV, 90 tablečių","10,96€",
"LIFEPLAN CHEWABLE VITAMIN C, 500 mg, apelsinų skonio vitaminas C su flavonoidais, 90 tablečių. Su cukrumi ir saldikliu","12,64€",
"ABC VIT Vitaminas C, 500 mg, braškių skonio, 50 kramtomų tablečių ","4,99€","3,49€"
"VITAMINAS D3 1000TV, Lifeplan, 90 tablečių","7,99€","6,39€"
"CURESUPPORT vitaminai K2 + D3 liposomose, 60 ml","19,49€",
"LIFEPLAN VITAMIN C 1000 mg TIMED RELEASE, palengva įsisavinamas vitaminas C, tabletės N60","10,99€",
"LIFEPLAN LOW ACID VITAMIN C 1000 mg, sumažinto rūgštingumo vitaminas C, tabletės N30","7,99€",
"NORDAID VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 30x3ml","54,75€",
"NORDAID VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 10x3ml","25,45€",
"Natura Media Vitaminas D3 50µg, 200 mažų kapsulių","24,99€","19,99€"
NOW Vitaminas D-3 Lašai 59ml,"10,00€","9,00€"
"EQUILIBRA purškiamas vitaminas D3, citrinų ir mėtų skonio, 13 ml","14,99€","11,24€"
"Optibac Adult guminukai su gyvybingomis bakterijomis +D+Zn+Cal, 30 vnt.","24,00€","16,80€"
"RAW POWDERS VITAMINAS D3 + VITAMINAS K2, 90 tablečių","8,59€","6,87€"
"VITA C ORIGINAL 500 mg, 200 tablečių","13,39€","11,38€"
"MOLEKIN C 1000, 30 tablečių","14,99€","8,99€"
"YOU2.0, vitaminas D3, N180","16,73€","13,38€"
"MEGA C APELSINŲ SKONIO, 60 kramtomų tablečių","9,11€",
"MEGA VITAMIN D FORTE 4000 IU, 60 kapsulių","10,83€",
"SAULĖS VITAMINAS, kramtomos tabletės, N30","12,99€",
"DOPPELHERZ AKTIV VITAMIN D3 2000 I.E., tabletės, N50","9,49€",
"VIRIDIAN VIRIDKID VITAMIN D, skystas vitaminas D, 400IU, 30 ml","18,99€","13,29€"
"VIRIDIAN EXTRA C, 950 mg, 30 kapsulių","16,99€","12,74€"
"ASKORBO RŪGŠTIS, 50 mg, dražetės, N200","2,99€",
"ACORUS BALANCE D3 + K2 LIPOSOMAL SHOTS, geriamasis tirpalas, 25 ml, N14","24,99€","17,49€"
"SMARTHIT IV VITAMIN C+Zn, N30","21,99€","15,39€"
"VITA-LAB VITAMINAS D3 5000 + K2 200 µg, 90 tablečių","10,99€","7,69€"
"VITA-LAB VITAMINAS C, 750 mg, 90 tablečių","6,99€","4,89€"
"VITA-C LONG, 500mg, tabletės, N150","13,99€",
"UNIKALK CALCIUM FORTE K2, su vitaminu D, 90 tablečių","16,99€",
"VITAMINAI D3 IR K2, 30 kramtomų tablečių","8,49€",
"OLIDETRIM 4000 D3 + K2 OMEGA-3, 30 minkštųjų kapsulių","12,30€",
"SPARKLE C ORANGE, 1000 mg, 20 šnypšiančių tablečių","4,48€","2,69€"
"SWANSON VITAMINAS C, su erškėčių ekstraktu, 1000 mg, 90 kapsulių","15,99€",
"VITADAY VITAMINAS D3 1600TV, 40 kramtomųjų tablečių","7,48€",
"ŠVF, imunitetui guminukai vaikams, apelsinų skonio, N60","12,99€","9,74€"
"ALPIKOL, sirupas imunitetui, 120 ml","8,93€","7,59€"
"LIVOL MULTI, vaikams, vyšnių skonio, 60 tablečių","12,45€","8,09€"
"MEDICATA, bičių duonelė, džiovinta, 100 g","8,95€","6,71€"
"WALMARK HERBA IMUNO RAPID, 30 tablečių","9,39€",
"FLORADIX KIDS, skystosios geležies formulė, 250 ml","15,99€","12,79€"
"FLORADIX IMMUNE SUPPORT skysta vitaminų formulė, 250ml","17,99€",
"LIVOL MULTI, vitaminų guminukai, N75","15,99€","10,39€"
"SAMBUCOL BLACK ELDERBERRY FOR KIDS, sirupas vaikams su juoduogiu šeivamedžiu, 120 ml","14,49€",
"LIVOL MULTI, guminukai, kolos skonio, 75vnt.","15,99€","10,39€"
"ALKYMER, 250 mg, 60 kapsulių","11,59€",
"MAGVIT PLUS, 500 mg magnio ir 8 B grupės vitaminai, 42 tabletės","12,99€",
"MOLLER'S OMEGA-3 JUNIOR, 45 kramtomosios gelinės žuvelės ","15,13€",
"ALSIROYAL ACEROLA PLUS, Vitamin C prailginto veikimo, 30 tablečių","7,03€","4,92€"
"MARSIEČIAI GUMINUKAI, su ežiuole, 50 guminukų ","11,89€",
"DOCTOR FISH OMEGA-3 + VITAMINS D&E, 30 kramtomųjų kapsulių","11,98€",
"MYCO IMMUNITY, imunitetui, 30 kapsulių","21,55€",
"SAMBUCOL BLACK ELDERBERRY IMMUNO FORTE, maisto papildas su juoduogiu šeivamedžiu, 120 ml","14,49€",
"Greenify Immunity Boost Shots, imuninei sistemai, 25ml, N14","24,99€","14,99€"
"Greenify Immunity Defence Shots, imuninei sistemai, 25ml, N14 ","24,99€","14,99€"
"LIVOL MULTI, vitaminai vaikams, vaisių skonio, 60 kramtomųjų tablečių","12,45€","7,47€"
GOIMMUNE STRONG. 20 kapsulių,"11,35€",
"SAMBUCOL BLACK ELDERBERRY CHEWABLE TEDDIES FOR KIDS, maisto papildas su juoduogiu šeivamedžiu, 60 tablečių","12,49€",
"ECOSH CHAGA SU JUODUOJU ČESNAKU, kapsulės, N90","20,99€","18,89€"
"ECOSH KININIS KORDICEPSAS (Cordyceps), 500 mg, 90 kapsulių","19,99€","17,99€"
"IMUNITAL PLUS, 30 kapsulių","7,49€","4,49€"
"ALOE PURA ALOE VERA JUICE, tikrųjų alavijų sultys, 1000 ml","19,97€",
"VITAMIN C PROLONG, 40 kapsulių","9,37€",
"MOLLER'S BABY, mano pirmieji žuvų taukai, 250 ml","12,89€",
"MEDICATA, propolio lašai, 30 ml","6,36€","4,77€"
"LIVOL MULTI PAAUGLIAMS, 60 tablečių","14,59€","10,94€"
"MEDICATA APILAKAS, bičių pienelis, 70 mg, 20 tablečių","11,24€","8,43€"
"SAMBUCUS KIDS, sirupas, 120 ml ","12,03€",
"CITROMIX, greipfrutų sėklų ekstraktas, 50 ml ","16,64€","13,31€"
"LYSI, ŽUVŲ TAUKAI VAIKAMS, NATŪRALAUS SKONIO, 240 ML/220 G","8,63€","6,90€"
"KLORANE, šampūnas su chininu ir B grupės vitaminais, 400 ml","18,75€",
"FLORADIX KINDERVITAL, VAIKAMS, 250 ML","13,10€","10,48€"
"IMMUNOTROFINA® D, Skystas maisto papildas, 180ml","12,99€",
"ISKIAL JUNIOR kramtomosios kapsulės, 30 kapsulių","14,64€",
"ASKORUTINAS, 20 tablečių","0,54€","0,49€"
"CITROSEPT ORGANIC, greipfrutų sėklų ekstraktas, 50 ml ","16,65€","13,32€"
"TECNOFER BAMBINI, lašai vaikams, 30 ml ","15,49€",
"IMUNIT, skystis,10 ml, 20 vnt. ","22,99€","16,09€"
"KLORANE, serumas su chininu, kofeinu, ekologišku edelveisu ir B grupės vitaminais nuo visų tipų plaukų slinkimo, 100 ml","36,99€",
"CITROSEPT ORGANIC 1500, ekologiškas greipfrutų ekstraktas, 100 ml","28,74€","22,99€"
"MedB Lakštinė kaukė su vitaminu C, 27g","3,99€","2,00€"
"MOLEKIN IMUNO, 30 tablečių","11,09€",
Ziaja BABY raminamasis kremas su D-Pantenoliu 10 % kūdikiams ir vaikams 60 ml.,"4,79€",
"SUPER CLASSICO, apsauginiai ausų kamštukai, 35dB, 4 vnt.","3,99€",
"ECHINA-ZINC C-vit., 20 tablečių","5,59€",
"GARNIER VITAMIN C, micelinis vanduo su vitaminu C","9,39€",
"Ziaja Med atgaivinantis serumas su Vitaminu C, 30 ml.","7,99€",
"ELGON LINK-D BOND BUILDER Nr. 0, plaukus atkuriantis šampūnas, 100 ml","9,99€","7,49€"
"MOLLER'S OMEGA-3 JUNIOR, žuvų taukai, 45 braškių-aviečių skonio kramtomosios gelinės žuvelės","15,13€",
"PLACENTA VITAE, KONDICIONIERIUS NUO PLAUKŲ SLINKIMO, 250 ml","11,69€",
"URSAPHARM VITA-POS, akių tepalas su vitaminu A, 5 g ","9,38€",
"EARTH LINE Vitamin E Ilgalaikis dezodorantas be aliuminio druskų, 50ml","14,95€",
"ELGON I CARE, dažantis kondicionierius, C/071 Pastel Violet, pastelinė violetinė spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/23 Light Beige, šviesi smėlio spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/4 Copper, vario spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/77 Deep Violet, intensyvi violetinė spalva, 200 ml","13,99€","10,49€"
"ELGON I CARE, dažantis kondicionierius, C/026 Pastel Pink, pastelinė rožinė spalva, 200 ml","13,99€","10,49€"
"KLORANE, kondicionierius plaukams su chininu ir kompleksu vit. B, 200 ml","16,95€",
"EARTH LINE Vitamin E Veido prausimosi gelis, normaliai/mišriai odai, 200ml","16,95€",
"BIONIKE TRIDERM D.S., intensyvaus poveikio normalizuojantis kremas, seborėjinio dermatito paveiktai odai, 50ml","19,99€","15,99€"
"CLINERAL BY AHAVA D-MEDIC, pėdų gelinis šveitiklis, 100 ml","17,99€","14,39€"
"Ziaja multivitaminų paakių kremas su su vitaminu E, 15 ml.","2,99€",
"DR. THEISS ŠVEICARIŠKŲ ŽOLIŲ SKONIO LEDINUKAI SU VITAMINU C IR MEDUMI, 75 g.","3,79€","3,03€"
"BIONIKE TRIDERM A.D. kremas emolientas sausai, atopiškai odai, 400ml","21,99€","17,59€"
"MOLLER'S ŽUVŲ TAUKAI DOBBEL IMUNITY, 100 kapsulių","19,49€",
"BIONIKE TRIDERM A.D. intensyviai maitinantis balzamas sausai, atopiškai odai, 450ml","26,99€","21,59€"
"D-LAB kapsulės, plaukų augimo skatinimui 56 kapsulės","20,99€",
KŪNO ODĄ PUOSELĖJANTIS ŠVEITIKLIS- DRĖKINANTIS,"24,99€","18,74€"
"ISDIN FLAVO-C MELATONIN, odą regeneruojančios naktinės ampulės, 2 ml x 10 vnt.","29,40€","20,58€"
"BIONIKE DEFENCE BOOST SKAISTINAMASIS ANTIOKSIDACINIS KONCENTRATAS SU STABILIU VITAMINU C, 30 ml","31,99€","25,59€"
"KLORANE, šampūnas su chininu ir B grupės vitaminais, 200 ml ","11,65€",
"LA ROCHE POSAY PURE VITAMIN C, paakių kremas, 15ml","35,99€","28,79€"
"CARTILAGEN COLLAGEN, 5000mg, jūrinio kolageno pagrindu su N-acetilgliukozaminu, variu, cinku, biotinu ir vitaminais, 50 ml x N10","29,99€",
D-LAB Kapsulės maisto papildas lieknėjimo detoksikacijai 56 vnt.,"26,99€",
D-LAB Kapsulės maisto papildas kepenų detoksikacijai 56 vnt.,"26,99€",
"LA ROCHE POSAY PURE VITAMIN C LIGHT, kremas, 40ml","39,99€","31,99€"
"LA ROCHE POSAY PURE VITAMIN C RICH, kremas, 40ml","39,99€","31,99€"
"COLGATE 3D DENSITY SOFT, dantų šepetėlis, 1vnt.","5,34€",
"D-LAB Kapsulės Kolageno, odos priežiūrai 84 vnt.","28,99€",
D-LAB Kapsulės Maisto papildas hormonų pusiausvyrai 56 vnt.,,
"ISDIN K-OX, paburkimus ir patamsėjimus apie akis mažinantis kremas su vitamino K oksidu, 15 ml","43,99€","35,19€"
VITA LIBERATA SAVAIMINIO ĮDEGIO ANTI-AGE SERUMAS VEIDUI 15 ML,"39,99€",
"TANNING MOUSSE TINTED – SAVAIMINIO ĮDEGIO PUTOS, SU IŠORINIU BRONZANTU, 200 ML. DARK","39,99€","29,99€"
"NEOSTRATA ENLIGHTEN, vitamino C serumas, 15ml","55,99€","41,99€"
"ISDIN FLAVO-C, jauninantis serumas su vitaminu C ir ginkmedžio lapų ekstraktu, 30 ml","48,99€","39,19€"
D-LAB Kapsulės Hialurono rūgšties skirta odos priežiūrai 28 vnt.,"41,99€",
"Ziaja Med intensyviai regeneruojantis naktinis veido kremas su vitaminu C, 50 ml","8,99€",
"ORAL-B VITALITY D100 + VITALITY FROZEN, elektrinis dantų šepetėlis, 1+1","57,95€","40,56€"
"INSTITUT ESTHEDERM PARIS, intensyvaus poveikio gelis-kremas su vitaminu C, 50 ml","63,99€","47,99€"
"KALCIKINON LIQUID, skystas kalcis su vitaminais D3, K2, fosforu, 150 ml","12,18€","7,92€"
"D-CURE, 25 000TV, geriamasis tirpalas, (l.imp), N4","5,78€",
"IMUNITAL SHOTS, (20 geriamų dozių po 10 ml) 20 vnt.","24,69€","12,34€"
"CREVIL ESSENTIAL, kremas su alyvuogių aliejumi ir vitaminu E, 250 ml","3,65€",
"MEDICATA GLIUKOZĖ SU VITAMINU C, aviečių kvapo, 10 tablečių","0,99€",
"LACALUT MULTI-EFFECT PLUS, dantų pasta su vitaminais ir mineralais, 75 ml","4,99€",
"ACEROLA PLUS 100, vitaminas C, 120 kramtomųjų tablečių","14,90€","10,43€"
"AQUA SPLASH, apsauginiai ausų kamštukai, 30dB, 2 vnt.","3,99€",
"ELGON I CARE, dažantis kondicionierius, C/057 Pastel Fuchsia, pastelinė fuksijų spalva, 200 ml","13,99€","10,49€"
"LIFEPLAN VITAMINAS B12, 25 µg, 100 tablečių","9,49€",
"PLACENTA VITAE, ATSTAOMASIS, REGENERUOJANTIS ŠAMPŪNAS SU KERATINU IR PLACENTOS EKSTRAKTU*, 250 ml","12,19€",
"VITADAY FOLIO RŪGŠTIS, 400 mg, 90 tablečių","2,48€","1,74€"
"GAMTOS NAMAI VIT B12 + FOLIO RŪGŠTIS, 90 tablečių ","17,99€","10,79€"
"MEDICATA GLIUKOZĖ SU VITAMINU C, vyšnių kvapo, 10 tablečių","0,99€",
"ATEROLIP D, 30 kapsulių","14,99€",
"DR. THEISS, šalavijų ir medaus ledinukai su vitaminu C, 75g","3,79€","3,03€"
"PHARMACERIS N C CAPILIX, stiprinamasis serumas su vit. C, 30 ml","20,99€","15,74€"
"MEDICATA GLIUKOZĖ SU VITAMINU C, žemuogių kvapo, 10 tablečių","0,99€",
"LACALUT KIDS, dantų pasta, 2-6 metų vaikams, švelnaus mėtų skonio, su vitaminais A ir E, 55ml","3,63€",
"SWANSON, Beta karotenas (Vitaminas A), kapsulės, N100","10,99€","8,24€"
"3D veido masažuoklis SINCERO SALON face sculptor, 1 vnt.","24,99€",
"DOPPELHERZ HYALURON + Q10 + VITAMIN C + ZINK + BIOTIN, 30 kapsulių","26,99€",
"VITADAY KOMPLEKSAS NERVŲ SISTEMAI, 20 kapsulių","4,98€",
"PLACENTA VITAE ŠAMPŪNAS NUO PLAUKŲ SLINKIMO, 250 ml","11,69€",
"DOPPELHERZ AKTIV B12+C+D3 DEPOT, 30 tablečių","10,99€",
"Uriage D.S,. valomasis gelis, 150ml","12,93€",
"ACORUS BALANCE BRAIN + MAGNIS/VIT.B6, užkandis, 9 g, 5 vnt.","1,69€",
"VITA LIBERATA, BODY BLUR HD MOMENTINIO POVEIKIO KREMAS, KŪNO MAKIAŽAS, vidutinis atspalvis, 100 ML","39,99€","29,99€"
"OXYWATCH MD300C, pulsoksimetras","42,35€",
"ELGON LINK-D BOND SEALER NR. 4, apsauginis serumas plaukams, 100 ml","14,99€","11,24€"
"EUCERIN HYALURON-FILLER + ELASTICITY 3D, serumas, 30 ml","44,60€","35,68€"
"MICROLIFE MT 16C2, skaitmeninis termometras","6,05€","5,44€"
"STREPHERBALTM ELDERBERRY & ECHINACEA MAISTO PAPILDAS SU SALDIKLIAIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI, 24 pastilės","7,49€","5,24€"
LR wonder company hialurono rūgšties serumas su vitaminu C 30 ml,"17,49€",
"NOVEXPERT valomosios veido putos su vitaminu C, 150ml","21,99€",
"DR. THEISS ŠALAVIJŲ IR MELISŲ SKONIO LEDINUKAI SU VITAMINU C, 75 g","3,79€","3,03€"
"OMRON C801KD, inhaliatorius, vaikiškas, N1","76,22€",
"PLACENTA VITAE, INTENSYVI PRIEMONĖ NUO PLAUKŲ SLINKIMO, 150ml","12,19€",
"OMRON C301 DUOBABY 2IN1, kompresorinis inhaliatorius, + nosies aspiratorius (spec.kūdikiams)","106,23€",
"PERSPI GUARD ROLL ON, rutulinis antiperspirantas (5 d. apsauga nuo prakaitavimo), 30 ml","15,49€","11,62€"
YUNYIFU RESPIRATORIUS FFP2 NR D 2834ECO X 10 VNT. (tamsiai mėlynos spalvos),"13,99€",
"PLACENTA VITAE REGENERUOJANTIS SERUMAS - MAKIAŽO PAGRINDAS blakstienoms ir antakiams, 14 ml","15,99€",
"PHARMACERIS N VITA CAPILARIL, drėkinamasis kremas, SPF 20, 50 ml","12,99€","9,74€"
"URINAL AKUT D-MANNOSE, 10 tablečių","12,99€","9,09€"
"COLDHERBA, vaistažolių arbata su vit.C, 2g, N20 ","2,40€","1,92€"
"EUCERIN HYALURON-FILLER, vitamino C serumas (10 proc. grynojo vitamino C), 8 ml","19,99€","14,99€"
"GO WIPES, drėgnos servetėlės su D-pantenoliu, 15 vnt.","0,69€",
"ELGON LINK-D BOND KEEPER Nr. 3, profesionali plaukų atkūrimo ir stiprinimo priemonė visų tipų plaukams, 250 ml","16,99€","12,74€"
"DR. THEISS APELSINŲ SKONIO ŠALAVIJŲ LEDINUKAI SU VITAMINU C, 75 g","3,79€","3,03€"
"LA ROCHE POSAY PURE VITAMIN C UV, kremas, SPF25, 40ml","42,99€","34,39€"
"VITA LIBERATA, BEAUTY BLUR - ODOS ATSPALVĮ KOREGUOJANTIS PAGRINDAS 30 ML., MEDIUM","37,99€","28,49€"
"TANNING MOUSSE TINTED – SAVAIMINIO ĮDEGIO PUTOS, SU IŠORINIU BRONZANTU, 200 ML. MEDIUM","39,99€","29,99€"
"PHARMACERIS N CAPI HIALURON C, kremas nuo raukšlių, SPF20, 50 ml","20,99€","15,74€"
"GARNIER VITAMIN C, serumas nuo pigmentinių dėmių su vitaminu C","14,99€",
"UPSARIN C, 330 mg/200 mg, šnypščiosios tabletės, N20 ","6,73€",
"OCUHYL C, lašai akims, 10 ml ","8,77€",
"DR. THEISS LIEPŽIEDŽIŲ IR CITRINŲ SKONIO LEDINUKAI SU VITAMINU C, 75 g","3,79€","3,03€"
"MEDICATA GLIUKOZĖ SU VITAMINU C, apelsinų kvapo, 10 tablečių ","0,99€",
"URIAGE D.S., šampūnas nuo pleiskanų, 200 ml","13,55€",
"MARGAINIS PLIUS B1,B2, B3,B5,B6,B12,C,E,Biotinas,folio rūgštis, kepenų veikla, N30 ","4,99€",
"VITA LIBERATA, BEAUTY BLUR - ODOS ATSPALVĮ KOREGUOJANTIS PAGRINDAS 30 ML., LIGHT","37,99€","28,49€"
"AVENE XERACALM A.D ALIEJINIS PRAUSIKLIS Į ATOPINĮ DERMATITĄ LINKUSIAI ODAI, 400 ml","23,65€","17,74€"
"RUGARD VITAMIN, kremas, 50 ml","8,60€",
"URIAGE D.S., reguliuojanti emulsija, 40 ml","16,01€",
"VICHY DERMABLEND 3D, koreguojamasis makiažo pagrindas, SPF25, Nr.25, 30 ml","28,99€",
"DR. THEISS KAULAŽOLIŲ TEPALAS, su vitaminu E, 50 g","6,95€",
"ASPIRIN-C, 400 mg/240 mg, šnypščiosios tabletės, N10 ","4,74€",
"CORAL CALCIUM COMPLEX SU VITAMINU D3, 500 mg, 60 kapsulių","12,99€","11,69€"
"DR.THEISS EUKALIPTŲ LEDINUKAI SU MENTOLIU IR VITAMINU C, 75g","3,79€","3,03€"
"SVR C20 BIOTIC, probiotinis veido kremas su vitaminu C, 50 ml","45,95€","34,46€"
"ABC VIT, vitaminas A, 60 kapsulių","5,99€",
"VITADAY GINKMEDŽIO EKSTRAKTAS, 60 kapsulių ","8,98€","6,29€"
"VITABALANS OY FOLICA, 400 mcg, 30 tablečių","2,29€",
"VIRIDIAN FOLIC ACID + DHA, 90 kapsulių","19,99€","14,99€"
"AVENE EAU THERMALE XERACALM A.D. maitinamasis kremas, 400 ml","40,99€","30,74€"
"URIAGE, D.S. šampūnas, keratolitinio poveikio, 150 ml","13,99€",
"FORMULA VITALE KIDS+ D, Vitaminas D3, 60 guminukai","9,99€",
"ACTI FRESH, nuo nemalonaus kojų ir batų kvapo (poveikis iki 7 d.), 100 ml","12,98€","9,74€"
"HEMATOGENAS SU SĖMENIMIS IR VITAMINAIS, 50 g","1,08€",
"PHARMACERIS A VITA SENSILIUM, drėkinamasis kremas, SPF20, 50 ml","16,29€","12,22€"
"VITADAY KOMPLEKSAS ŠIRDŽIAI SU GUDOBELE IR KOFERMENTU Q10, 40 tablečių ","6,98€",
"SVR C AMPOULE ANTI-OX, koncentruotas skaistinamasis serumas su vitaminu C, 30 ml","36,99€","27,74€"
"Uriage D.S,. šampūnas, švelnus balansuojamasis, 200ml","11,15€",
"AUSTRIŲ KALCIS 500 mg SU VITAMINU D3, 60 tablečių","6,49€","5,84€"
"CHIRANA, švirkštas insulinui, 0,5ml 29G (3d), N100","12,10€",
"AVENE XERACALM A.D. MAITINAMASIS VEIDO IR KŪNO KREMAS Į ATOPINĮ DERMATITĄ LINKUSIAI ODAI, 200 ml","24,99€","18,74€"
"BABE VITAMINO C+, drėkinamojo, skaistinamojo koncentruoto serumo ampulės, 2 ml x 10 vnt.","21,30€","17,04€"
"DR. SCHAR MIX C, MILTAI, NEGLIUTENINIAI, MIŠINYS KEPIMUI, 1000 G","4,27€",
"MEDICATA GLIUKOZĖ SU VITAMINU C, citrinų kvapo, 10 tablečių","0,99€",
"VITADAY SPANGUOLIŲ EKSTRAKTAS SU VITAMINU C, 60 tablečių","5,98€",
"DOPPELHERZ AKTIV CALCIUM 700 + VITAMIN D3, 30 kapsulių","5,49€",
"ACTIV'M GEL, silikoninis gelis randų priežiūrai su vitaminu E, 20 g","28,51€",
"ECOSH bioaktyvi Geležis su vitaminu C, 90 kapsulių","15,76€",
"AVENE XERACALM A.D. maitinamasis balzamas, 200 ml","25,89€","19,42€"
"VITADAY, KOMPLEKSAS SĄNARIAMS SU GLIUKOZAMINU, 60 tablečių","8,98€",
"VITADAY, ŽUVŲ TAUKAI 1000 mg, 60 kapsulių","9,48€",
"PLACENTA VITAE, LOSJONAS SU PLACENTOS EKSTRAKTU NUO PLAUKŲ SLINKIMO, ampulės, 12 vnt. x 10 ml","12,89€",
"KOLAGENO + HIALURONO KOMPLEKSAS - ANANASAS (HIDROLIZUOTAS KOLAGENAS PEPTAN, HIALURONO RŪGŠTIS, ORGANINIS CINKAS, VIT B2, BIOTINAS, VIT C. N32, milteliai, 400g","28,99€",
"IMUNITAL VITAMIN C 1000 Shots 10ml, 20 vnt.","20,39€","14,27€"
"RAW POWDERS VITAMINAS K2 (MK-7), 500 mcg, 60 kapsulių","14,55€","11,64€"
"PERSPI GUARD, purškiamas antiperspirantas (5 d. apsauga nuo prakaitavimo), 50 ml","18,99€","14,24€"
"BIOCELL 2 IN 1, retinolio veido kaukė ir vitamino C serumas, N1","5,99€",
"FORMULA VITALE VITAMINAS D 4000TV, Saulės vitaminas, 100 µg , 120 kapsulių","15,49€",
"ALPECIN C1, šampūnas su kofeinu nuo plaukų slinkimo, 375 ml","18,99€","14,24€"
"LYSI OMEGA-3 FISH OIL+ VITAMIN D3, 120 MINKŠTŲJŲ KAPSULIŲ","11,49€","9,19€"
"VITADAY MAGNIS SU VITAMINU B6, 60 tablečių ","5,48€",
"SOFT-ZELLIN-C, spiritinės servetėlės, 100 vnt.","2,21€",
"AIMX BRIGHTEN ME, Greito poveikio skaistinanti veido kaukė su vitaminu C","6,49€",
"VITADAY KOMPLEKSAS KEPENIMS, 30 kapsulių","5,48€",
"BIOGAIA PROTECTIS, 10 kramtomųjų tablečių su vitaminu D3, apelsinų skonio","7,19€",
"BIO Ca+K+Mg+Zn su vitaminu D3, milteliai, 28 vnt.","12,40€",
"ESU LAPĖ A+D, kremas, 10 g ","4,34€",
"HERBITASSIN, gerklės pastilės su šalavijų ekstraktu ir vitaminu C, 12 pastilių ","2,99€",
"SAPIENS, forte kolagenas (sąnariams su vit. D), 500 ml","32,95€",
"AMBIO KIDS MULTIVITAMINAI VAIKAMS, 50 guminukų","11,98€","7,79€"
"AMBIO IMUNINEI SISTEMAI SU BETA GLIUKANAIS, 30 kapsulių","8,98€","1,80€"
"AMBIO VITAMINAI C ir D SU CINKU, 30 kapsulių","6,48€","4,21€"
"AMBIO IMUNITETUI SU ŠEIVAMEDŽIU IR EŽIUOLE, 20 tirpiųjų tablečių","9,98€",
"AMBIO VITAMINAI C 1000 IR D SU CINKU, 30 kapsulių","10,48€",
"AMBIO GREIPFRUTŲ SĖKLŲ EKSTRAKTAS, 50ml","16,48€",
"LR wonder company lūpų balzamas ,,Saldainis"" 4,5 g","3,50€",
"URBAN FOOD BURNOČIO SĖKLOS, 200 g","3,99€",
"ACAPPELLA putojantis vonios burbulas, Pagyrūnas mandarinas, 1 vnt","4,29€",
"URBAN FOOD milteliai MOLIŪGŲ MILTELIAI, 100 g","5,49€",
"URBAN FOOD milteliai PETRAŽOLIŲ LAPŲ MILTELIAI, 50 g","5,49€",
Ziaja alyvuogių aliejaus paakių kremas intensyviai drėkinantis 15 ml.,"4,79€",
"Golden Rose Spring Breeze rankų kremas, 50ml","4,90€","3,68€"
"Golden Rose Nude lūpų daž. Creamy Nr.02, 3.5g","5,59€","4,19€"
"Golden Rose Nude lūpų daž. Matte Nr.01, 4.2g","5,49€","4,12€"
"Golden Rose lūpų sviestas Green Apple SPF 15, 8g","4,95€","3,71€"
"Dvifazis akių ir lūpų makiažo valiklis su ožkų pienu vandeniui atsparus, 120 ml,","5,99€",
Jazminų micelinis valomasis vanduo 50+ 200 ml,"5,99€",
Golden Rose Miss Beauty Lūpų aliejus Cherry,"6,99€","5,24€"
"URBAN FOOD milteliai DILGĖLIŲ MILTELIAI, 50 g","5,49€",
Natūralus augalinis kviečių daigų aliejus 50ml.,"6,99€",
"QUIES apsauginiai ausų kištukai iš poliuretano putos, ryškių spalvų, 3 poros","6,39€",
"URBAN FOOD milteliai ARONIJŲ MILTELIAI, 100 g","5,99€",
"DICLOVIT, kietosios kapsulės, N30 ","5,21€",
"YOPE natūralus virtuvės rankų muilas 500ml., Medus ir Bergamotė","8,99€","7,64€"
"PLIDENTA PRO-BALANCE, dantų pasta, 75ml","6,95€",
"URBAN FOOD milteliai JUODŲJŲ SERBENTŲ MILTELIAI, 100 g","6,99€",
"YOPE Natūralus skystas muilas ""Kedro mediena ir kartusis apelsinas"", 500ml.","9,39€","7,98€"
"YOPE Natūralus rankų kremas ""Šalavijas ir žalieji ikrai"", 100ml.","9,89€","8,41€"
"YOPE Natūralus rankų kremas, ""Arbata ir Mėta"", 100ml.","9,89€","8,41€"
"URBAN FOOD milteliai SVARAINIŲ MILTELIAI (be sėklų), 100 g","8,49€",
"URBAN FOOD milteliai BRUKNIŲ MILTELIAI, 100 g","8,49€",
"URBAN FOOD milteliai BRAŠKIŲ MILTELIAI, 100 g","14,00€",
MARTIS RESPECT ilgalaikiai plaukų dažai be amoniako Nr.26,"13,99€",
EQUACARE Dušo gelio rinkinys,"18,39€",
"URBAN FOOD milteliai BURNOČIO SĖKLŲ MILTELIAI, 100 g","2,69€",
"EARTH LINE Aloe Vera Pėdų kremas, minkštinamasis, visų tipų odai, 100ml","15,99€",
"EQUA gertuvė BIRDS 600 ml, plastikinė, 1 vnt.","13,00€",
SEA LINE Dead Sea Treatment Acno Dieninis ir naktinis kremas 75ml,"16,99€",
"GREENICE PARODONT ACTIVE, burnos skalavimo skystis, 300 ml","3,29€",
