Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
RAW POWDERS,"POWDERS VITAMINAS D3 + VITAMINAS K2,",90,"8,59€","6,87€"
VITA,"C ORIGINAL 500 mg,",200,"13,39€","11,38€"
MOLEKIN,"C 1000,",30,"14,99€","8,99€"
YOU2.0 ,"vitaminas D3, N",180,"16,73€","13,38€"
MEGA,"C APELSINŲ SKONIO,",60,"9,11€","13,29€"
MEGA,"VITAMIN D FORTE 4000 IU,",60,"10,83€","12,74€"
SAULĖS,"VITAMINAS, kramtomos tabletės, N",30,"12,99€","17,49€"
DOPPELHERZ,"AKTIV VITAMIN D3 2000 I.E., tabletės, N",50,"9,49€","15,39€"
VIRIDIAN,"VIRIDKID VITAMIN D, skystas vitaminas D, 400IU,",30,"18,99€","7,69€"
VIRIDIAN,"EXTRA C, 950 mg,",30,"16,99€","4,89€"
ASKORBO,"RŪGŠTIS, 50 mg, dražetės, N",200,"2,99€","2,69€"
ACORUS,"BALANCE D3 + K2 LIPOSOMAL SHOTS, geriamasis tirpalas, 25 ml, N",14,"24,99€","9,74€"
SMARTHIT,"IV VITAMIN C+Zn, N",30,"21,99€",
VITA-LAB,"VITAMINAS D3 5000 + K2 200 µg,",90,"10,99€",
VITA-LAB,"VITAMINAS C, 750 mg,",90,"6,99€",
VITA-C,"LONG, 500mg, tabletės, N",150,"13,99€",
UNIKALK,"CALCIUM FORTE K2, su vitaminu D,",90,"16,99€",
VITAMINAI,"D3 IR K2,",30,"8,49€",
OLIDETRIM,"4000 D3 + K2 OMEGA-3,",30,"12,30€",
SPARKLE,"C ORANGE, 1000 mg,",20,"4,48€",
SWANSON,"VITAMINAS C, su erškėčių ekstraktu, 1000 mg,",90,"15,99€",
VITADAY,"VITAMINAS D3 1600TV,",40,"7,48€",
ŠVF ,"imunitetui guminukai vaikams, apelsinų skonio, N",60,"12,99€",
ALPIKOL ,"sirupas imunitetui,",120,"8,93€","7,59€"
LIVOL,"MULTI, vaikams, vyšnių skonio,",60,"12,45€","8,09€"
MEDICATA ,"bičių duonelė, džiovinta,",100,"8,95€","6,71€"
WALMARK,"HERBA IMUNO RAPID,",30,"9,39€","12,79€"
FLORADIX,"KIDS, skystosios geležies formulė,",250,"15,99€","10,39€"
FLORADIX,"IMMUNE SUPPORT skysta vitaminų formulė,",250,"17,99€","10,39€"
LIVOL,"MULTI, vitaminų guminukai, N",75,"15,99€","14,99€"
SAMBUCOL,"BLACK ELDERBERRY FOR KIDS, sirupas vaikams su juoduogiu šeivamedžiu,",120,"14,49€","14,99€"
LIVOL,"MULTI, guminukai, kolos skonio,",75,"15,99€","7,47€"
ALKYMER ,"250 mg,",60,"11,59€","18,89€"
MAGVIT,"PLUS, 500 mg magnio ir 8 B grupės vitaminai,",42,"12,99€","17,99€"
MOLLER'S,"OMEGA-3 JUNIOR,",45,"15,13€","4,49€"
MARSIEČIAI,"GUMINUKAI, su ežiuole,",50,"11,89€",
DOCTOR,"FISH OMEGA-3 + VITAMINS D&E,",30,"11,98€",
MYCO,"IMMUNITY, imunitetui,",30,"21,55€",
SAMBUCOL,"BLACK ELDERBERRY IMMUNO FORTE, maisto papildas su juoduogiu šeivamedžiu,",120,"14,49€",
Greenify,"Immunity Boost Shots, imuninei sistemai, 25ml, N",14,"24,99€",
Greenify,"Immunity Defence Shots, imuninei sistemai, 25ml, N",14,"24,99€",
LIVOL,"MULTI, vitaminai vaikams, vaisių skonio,",60,"12,45€",
GOIMMUNE,STRONG.,20,"11,35€",
SAMBUCOL,"BLACK ELDERBERRY CHEWABLE TEDDIES FOR KIDS, maisto papildas su juoduogiu šeivamedžiu,",60,"12,49€",
ECOSH,"CHAGA SU JUODUOJU ČESNAKU, kapsulės, N",90,"20,99€",
ECOSH,"KININIS KORDICEPSAS (Cordyceps), 500 mg,",90,"19,99€",
IMUNITAL,"PLUS,",30,"7,49€",
LYSI,"CHILDREN'S OMEGA -3, Tutti frutti skonio su saldikliu,",60,"15,49€","12,39€"
ALOE,"PURA ALOE VERA JUICE, tikrųjų alavijų sultys,",1000,"19,97€","4,77€"
VITAMIN,"C PROLONG,",40,"9,37€","10,94€"
MOLLER'S,"BABY, mano pirmieji žuvų taukai,",250,"12,89€","8,43€"
MEDICATA ,"propolio lašai,",30,"6,36€","13,31€"
LIVOL,"MULTI PAAUGLIAMS,",60,"14,59€","6,90€"
MEDICATA,"APILAKAS, bičių pienelis, 70 mg,",20,"11,24€","10,48€"
SAMBUCUS,"KIDS, sirupas,",120,"12,03€","0,49€"
CITROMIX ,"greipfrutų sėklų ekstraktas,",50,"16,64€","13,32€"
LYSI ,"ŽUVŲ TAUKAI VAIKAMS, NATŪRALAUS SKONIO, 240 ML/",220,"8,63€","16,09€"
KLORANE ,"šampūnas su chininu ir B grupės vitaminais,",400,"18,75€","22,99€"
FLORADIX,"KINDERVITAL, VAIKAMS,",250,"13,10€","2,00€"
IMMUNOTROFINA®,"D, Skystas maisto papildas,",180,"12,99€",
ISKIAL,"JUNIOR kramtomosios kapsulės,",30,"14,64€",
ASKORUTINAS ,,20,"0,54€",
CITROSEPT,"ORGANIC, greipfrutų sėklų ekstraktas,",50,"16,65€",
TECNOFER,"BAMBINI, lašai vaikams,",30,"15,49€",
IMUNIT ,"skystis,10 ml,",20,"22,99€",
KLORANE ,"serumas su chininu, kofeinu, ekologišku edelveisu ir B grupės vitaminais nuo visų tipų plaukų slinkimo,",100,"36,99€",
CITROSEPT,"ORGANIC 1500, ekologiškas greipfrutų ekstraktas,",100,"28,74€",
MedB,"Lakštinė kaukė su vitaminu C,",27,"3,99€",
MOLEKIN,"IMUNO,",30,"11,09€",
Ziaja,BABY raminamasis kremas su D-Pantenoliu 10 % kūdikiams ir vaikams,60,"4,79€",
SUPER,"CLASSICO, apsauginiai ausų kamštukai, 35dB,",4,"3,99€",
ECHINA-ZINC,"C-vit.,",20,"5,59€","7,49€"
GARNIER,"VITAMIN C, micelinis vanduo su vitaminu C",0,"9,39€","10,49€"
Ziaja,"Med atgaivinantis serumas su Vitaminu C,",30,"7,99€","10,49€"
ELGON,"LINK-D BOND BUILDER Nr. 0, plaukus atkuriantis šampūnas,",100,"9,99€","10,49€"
MOLLER'S,"OMEGA-3 JUNIOR, žuvų taukai,",45,"15,13€","10,49€"
PLACENTA,"VITAE, KONDICIONIERIUS NUO PLAUKŲ SLINKIMO,",250,"11,69€","10,49€"
URSAPHARM,"VITA-POS, akių tepalas su vitaminu A,",5,"9,38€","13,59€"
EARTH,"LINE Vitamin E Ilgalaikis dezodorantas be aliuminio druskų,",50,"14,95€","15,99€"
ELGON,"I CARE, dažantis kondicionierius, C/071 Pastel Violet, pastelinė violetinė spalva,",200,"13,99€","14,39€"
ELGON,"I CARE, dažantis kondicionierius, C/23 Light Beige, šviesi smėlio spalva,",200,"13,99€","3,03€"
ELGON,"I CARE, dažantis kondicionierius, C/4 Copper, vario spalva,",200,"13,99€","17,59€"
ELGON,"I CARE, dažantis kondicionierius, C/77 Deep Violet, intensyvi violetinė spalva,",200,"13,99€","21,59€"
ELGON,"I CARE, dažantis kondicionierius, C/026 Pastel Pink, pastelinė rožinė spalva,",200,"13,99€",
BIONIKE,"TRIDERM A.D. valomasis kremas- prausiklis sausai, atopiškai odai,",500,"16,99€",
KLORANE ,"kondicionierius plaukams su chininu ir kompleksu vit. B,",200,"16,95€",
EARTH,"LINE Vitamin E Veido prausimosi gelis, normaliai/mišriai odai,",200,"16,95€",
BIONIKE,"TRIDERM D.S., intensyvaus poveikio normalizuojantis kremas, seborėjinio dermatito paveiktai odai,",50,"19,99€",
CLINERAL,"BY AHAVA D-MEDIC, pėdų gelinis šveitiklis,",100,"17,99€",
Ziaja,"multivitaminų paakių kremas su su vitaminu E,",15,"2,99€",
DR. THEISS,"THEISS ŠVEICARIŠKŲ ŽOLIŲ SKONIO LEDINUKAI SU VITAMINU C IR MEDUMI,",75,"3,79€",
BIONIKE,"TRIDERM A.D. kremas emolientas sausai, atopiškai odai,",400,"21,99€",
MOLLER'S,"ŽUVŲ TAUKAI DOBBEL IMUNITY,",100,"19,49€",
BIONIKE,"TRIDERM A.D. intensyviai maitinantis balzamas sausai, atopiškai odai,",450,"26,99€",
D-LAB,"kapsulės, plaukų augimo skatinimui",56,"20,99€",
KŪNO,ODĄ PUOSELĖJANTIS ŠVEITIKLIS- DRĖKINANTIS,0,"24,99€","18,74€"
ISDIN,"FLAVO-C MELATONIN, odą regeneruojančios naktinės ampulės, 2 ml x",10,"29,40€","20,58€"
BIONIKE,"DEFENCE BOOST SKAISTINAMASIS ANTIOKSIDACINIS KONCENTRATAS SU STABILIU VITAMINU C,",30,"31,99€","25,59€"
KLORANE ,"šampūnas su chininu ir B grupės vitaminais,",200,"11,65€","28,79€"
LA ROCHE,"ROCHE POSAY PURE VITAMIN C, paakių kremas,",15,"35,99€","31,99€"
CARTILAGEN,"COLLAGEN, 5000mg, jūrinio kolageno pagrindu su N-acetilgliukozaminu, variu, cinku, biotinu ir vitaminais, 50 ml x N",10,"29,99€","31,99€"
D-LAB,Kapsulės maisto papildas lieknėjimo detoksikacijai,56,"26,99€","35,19€"
D-LAB,Kapsulės maisto papildas kepenų detoksikacijai,56,"26,99€","29,99€"
LA ROCHE,"ROCHE POSAY PURE VITAMIN C LIGHT, kremas,",40,"39,99€","41,99€"
LA ROCHE,"ROCHE POSAY PURE VITAMIN C RICH, kremas,",40,"39,99€","39,19€"
COLGATE,"3D DENSITY SOFT, dantų šepetėlis,",1,"5,34€","40,56€"
D-LAB,"Kapsulės Kolageno, odos priežiūrai",84,"28,99€","47,99€"
D-LAB,Kapsulės Maisto papildas hormonų pusiausvyrai,56,"28,99€","7,92€"
ISDIN,"K-OX, paburkimus ir patamsėjimus apie akis mažinantis kremas su vitamino K oksidu,",15,"43,99€",
VITA,LIBERATA SAVAIMINIO ĮDEGIO ANTI-AGE SERUMAS VEIDUI,15,"39,99€",
TANNING,"MOUSSE TINTED – SAVAIMINIO ĮDEGIO PUTOS, SU IŠORINIU BRONZANTU,",200,"39,99€",
NEOSTRATA,"ENLIGHTEN, vitamino C serumas,",15,"55,99€",
ISDIN,"FLAVO-C, jauninantis serumas su vitaminu C ir ginkmedžio lapų ekstraktu,",30,"48,99€",
D-LAB,Kapsulės Hialurono rūgšties skirta odos priežiūrai,28,"41,99€",
Ziaja,"Med intensyviai regeneruojantis naktinis veido kremas su vitaminu C,",50,"8,99€",
ORAL-B,"VITALITY D100 + VITALITY FROZEN, elektrinis dantų šepetėlis, 1+",1,"57,95€",
INSTITUT,"ESTHEDERM PARIS, intensyvaus poveikio gelis-kremas su vitaminu C,",50,"63,99€",
KALCIKINON,"LIQUID, skystas kalcis su vitaminais D3, K2, fosforu,",150,"12,18€",
D-CURE ,"25 000TV, geriamasis tirpalas, (l.imp), N",4,"5,78€",
IMUNITAL,"SHOTS, (20 geriamų dozių po 10 ml)",20,"24,69€","12,34€"
CREVIL,"ESSENTIAL, kremas su alyvuogių aliejumi ir vitaminu E,",250,"3,65€","10,43€"
MEDICATA,"GLIUKOZĖ SU VITAMINU C, aviečių kvapo,",10,"0,99€","10,49€"
LACALUT,"MULTI-EFFECT PLUS, dantų pasta su vitaminais ir mineralais,",75,"4,99€","1,74€"
ACEROLA,"PLUS 100, vitaminas C,",120,"14,90€","10,79€"
AQUA,"SPLASH, apsauginiai ausų kamštukai, 30dB,",2,"3,99€","3,03€"
ELGON,"I CARE, dažantis kondicionierius, C/057 Pastel Fuchsia, pastelinė fuksijų spalva,",200,"13,99€","15,74€"
LIFEPLAN,"VITAMINAS B12, 25 µg,",100,"9,49€","8,24€"
PLACENTA,"VITAE, ATSTAOMASIS, REGENERUOJANTIS ŠAMPŪNAS SU KERATINU IR PLACENTOS EKSTRAKTU*,",250,"12,19€",
VITADAY,"FOLIO RŪGŠTIS, 400 mg,",90,"2,48€",
GAMTOS,"NAMAI VIT B12 + FOLIO RŪGŠTIS,",90,"17,99€",
MEDICATA,"GLIUKOZĖ SU VITAMINU C, vyšnių kvapo,",10,"0,99€",
ATEROLIP,"D,",30,"14,99€",
DR. THEISS ,"THEISS, šalavijų ir medaus ledinukai su vitaminu C,",75,"3,79€",
PHARMACERIS,"N C CAPILIX, stiprinamasis serumas su vit. C,",30,"20,99€",
MEDICATA,"GLIUKOZĖ SU VITAMINU C, žemuogių kvapo,",10,"0,99€",
LACALUT,"KIDS, dantų pasta, 2-6 metų vaikams, švelnaus mėtų skonio, su vitaminais A ir E,",55,"3,63€",
SWANSON ,"Beta karotenas (Vitaminas A), kapsulės, N",100,"10,99€",
3D veido,"veido masažuoklis SINCERO SALON face sculptor,",1,"24,99€",
DOPPELHERZ,"HYALURON + Q10 + VITAMIN C + ZINK + BIOTIN,",30,"26,99€",
VITADAY,"KOMPLEKSAS NERVŲ SISTEMAI,",20,"4,98€",
PLACENTA,"VITAE ŠAMPŪNAS NUO PLAUKŲ SLINKIMO,",250,"11,69€",
DOPPELHERZ,"AKTIV B12+C+D3 DEPOT,",30,"10,99€",
Uriage,"D.S,. valomasis gelis,",150,"12,93€",
ACORUS,"BALANCE BRAIN + MAGNIS/VIT.B6, užkandis, 9 g,",5,"1,69€","29,99€"
VITA,"LIBERATA, BODY BLUR HD MOMENTINIO POVEIKIO KREMAS, KŪNO MAKIAŽAS, vidutinis atspalvis,",100,"39,99€","11,24€"
OXYWATCH,MD,300,"42,35€","35,68€"
ELGON,"LINK-D BOND SEALER NR. 4, apsauginis serumas plaukams,",100,"14,99€","5,44€"
EUCERIN,"HYALURON-FILLER + ELASTICITY 3D, serumas,",30,"44,60€","5,24€"
MICROLIFE,MT 16C,2,"6,05€","3,03€"
STREPHERBALTM,"ELDERBERRY & ECHINACEA MAISTO PAPILDAS SU SALDIKLIAIS SU VITAMINU C IR CINKU IMUNITETO STIPRINIMUI,",24,"7,49€","10,49€"
LR wonder,wonder company hialurono rūgšties serumas su vitaminu C,30,"17,49€","11,62€"
NOVEXPERT,"valomosios veido putos su vitaminu C,",150,"21,99€","9,74€"
DR. THEISS,"THEISS ŠALAVIJŲ IR MELISŲ SKONIO LEDINUKAI SU VITAMINU C,",75,"3,79€","9,09€"
OMRON,"C801KD, inhaliatorius, vaikiškas, N",1,"76,22€","1,92€"
PLACENTA,"VITAE, INTENSYVI PRIEMONĖ NUO PLAUKŲ SLINKIMO,",150,"12,19€","14,99€"
OMRON,C301 DUOBABY 2IN,1,"106,23€","12,74€"
ELGON,"I CARE, dažantis kondicionierius, C/44 Deep Copper, intensyvi vario spalva,",200,"13,99€","3,03€"
PERSPI,"GUARD ROLL ON, rutulinis antiperspirantas (5 d. apsauga nuo prakaitavimo),",30,"15,49€",
YUNYIFU,RESPIRATORIUS FFP2 NR D 2834ECO X,10,"13,99€",
PLACENTA,"VITAE REGENERUOJANTIS SERUMAS - MAKIAŽO PAGRINDAS blakstienoms ir antakiams,",14,"15,99€",
PHARMACERIS,"N VITA CAPILARIL, drėkinamasis kremas, SPF 20,",50,"12,99€",
URINAL,"AKUT D-MANNOSE,",10,"12,99€",
COLDHERBA ,"vaistažolių arbata su vit.C, 2g, N",20,"2,40€",
EUCERIN,"HYALURON-FILLER, vitamino C serumas (10 proc. grynojo vitamino C),",8,"19,99€",
GO WIPES ,"WIPES, drėgnos servetėlės su D-pantenoliu,",15,"0,69€",
ELGON,"LINK-D BOND KEEPER Nr. 3, profesionali plaukų atkūrimo ir stiprinimo priemonė visų tipų plaukams,",250,"16,99€",
DR. THEISS,"THEISS APELSINŲ SKONIO ŠALAVIJŲ LEDINUKAI SU VITAMINU C,",75,"3,79€",
LA ROCHE,"ROCHE POSAY PURE VITAMIN C UV, kremas, SPF25,",40,"42,99€","34,39€"
VITA,"LIBERATA, BEAUTY BLUR - ODOS ATSPALVĮ KOREGUOJANTIS PAGRINDAS",30,"37,99€","28,49€"
TANNING,"MOUSSE TINTED – SAVAIMINIO ĮDEGIO PUTOS, SU IŠORINIU BRONZANTU,",200,"39,99€","29,99€"
PHARMACERIS,"N CAPI HIALURON C, kremas nuo raukšlių, SPF20,",50,"20,99€","15,74€"
GARNIER,"VITAMIN C, serumas nuo pigmentinių dėmių su vitaminu C",0,"14,99€","3,03€"
UPSARIN,"C, 330 mg/200 mg, šnypščiosios tabletės, N",20,"6,73€","28,49€"
OCUHYL,"C, lašai akims,",10,"8,77€","17,74€"
DR. THEISS,"THEISS LIEPŽIEDŽIŲ IR CITRINŲ SKONIO LEDINUKAI SU VITAMINU C,",75,"3,79€","11,69€"
MEDICATA,"GLIUKOZĖ SU VITAMINU C, apelsinų kvapo,",10,"0,99€","3,03€"
URIAGE,"D.S., šampūnas nuo pleiskanų,",200,"13,55€","34,46€"
MARGAINIS,"PLIUS B1,B2, B3,B5,B6,B12,C,E,Biotinas,folio rūgštis, kepenų veikla, N",30,"4,99€","6,29€"
VITA,"LIBERATA, BEAUTY BLUR - ODOS ATSPALVĮ KOREGUOJANTIS PAGRINDAS",30,"37,99€","14,99€"
AVENE,"XERACALM A.D ALIEJINIS PRAUSIKLIS Į ATOPINĮ DERMATITĄ LINKUSIAI ODAI,",400,"23,65€","30,74€"
URIAGE,"D.S., reguliuojanti emulsija,",40,"16,01€",
DR. THEISS,"THEISS KAULAŽOLIŲ TEPALAS, su vitaminu E,",50,"6,95€",
ASPIRIN-C ,"400 mg/240 mg, šnypščiosios tabletės, N",10,"4,74€",
CORAL,"CALCIUM COMPLEX SU VITAMINU D3, 500 mg,",60,"12,99€",
DR.THEISS,"EUKALIPTŲ LEDINUKAI SU MENTOLIU IR VITAMINU C,",75,"3,79€",
SVR C20,"C20 BIOTIC, probiotinis veido kremas su vitaminu C,",50,"45,95€",
ABC VIT ,"VIT, vitaminas A,",60,"5,99€",
VITADAY,"GINKMEDŽIO EKSTRAKTAS,",60,"8,98€",
VITABALANS,"OY FOLICA, 400 mcg,",30,"2,29€",
VIRIDIAN,"FOLIC ACID + DHA,",90,"19,99€",
AVENE,"EAU THERMALE XERACALM A.D. maitinamasis kremas,",400,"40,99€",
URIAGE ,"D.S. šampūnas, keratolitinio poveikio,",150,"13,99€","9,74€"
FORMULA,"VITALE KIDS+ D, Vitaminas D3,",60,"9,99€","12,22€"
ACTI,"FRESH, nuo nemalonaus kojų ir batų kvapo (poveikis iki 7 d.),",100,"12,98€","27,74€"
HEMATOGENAS,"SU SĖMENIMIS IR VITAMINAIS,",50,"1,08€","5,84€"
PHARMACERIS,"A VITA SENSILIUM, drėkinamasis kremas, SPF20,",50,"16,29€","18,74€"
VITADAY,"KOMPLEKSAS ŠIRDŽIAI SU GUDOBELE IR KOFERMENTU Q10,",40,"6,98€","17,04€"
SVR C,"C AMPOULE ANTI-OX, koncentruotas skaistinamasis serumas su vitaminu C,",30,"36,99€","19,42€"
Uriage,"D.S,. šampūnas, švelnus balansuojamasis,",200,"11,15€","14,27€"
AUSTRIŲ,"KALCIS 500 mg SU VITAMINU D3,",60,"6,49€","11,64€"
AVENE,"XERACALM A.D. MAITINAMASIS VEIDO IR KŪNO KREMAS Į ATOPINĮ DERMATITĄ LINKUSIAI ODAI,",200,"24,99€","14,24€"
BABE,"VITAMINO C+, drėkinamojo, skaistinamojo koncentruoto serumo ampulės, 2 ml x",10,"21,30€",
MEDICATA,"GLIUKOZĖ SU VITAMINU C, citrinų kvapo,",10,"0,99€",
VITADAY,"SPANGUOLIŲ EKSTRAKTAS SU VITAMINU C,",60,"5,98€",
DOPPELHERZ,"AKTIV CALCIUM 700 + VITAMIN D3,",30,"5,49€",
ACTIV'M,"GEL, silikoninis gelis randų priežiūrai su vitaminu E,",20,"28,51€",
ECOSH,"bioaktyvi Geležis su vitaminu C,",90,"15,76€",
AVENE,"XERACALM A.D. maitinamasis balzamas,",200,"25,89€",
VITADAY ,"KOMPLEKSAS SĄNARIAMS SU GLIUKOZAMINU,",60,"8,98€",
VITADAY ,"ŽUVŲ TAUKAI 1000 mg,",60,"9,48€",
PLACENTA,"VITAE, LOSJONAS SU PLACENTOS EKSTRAKTU NUO PLAUKŲ SLINKIMO, ampulės, 12 vnt. x",10,"12,89€",
KOLAGENO,"+ HIALURONO KOMPLEKSAS - ANANASAS (HIDROLIZUOTAS KOLAGENAS PEPTAN, HIALURONO RŪGŠTIS, ORGANINIS CINKAS, VIT B2, BIOTINAS, VIT C. N32, milteliai,",400,"28,99€",
IMUNITAL,"VITAMIN C 1000 Shots 10ml,",20,"20,39€",
RAW POWDERS,"POWDERS VITAMINAS K2 (MK-7), 500 mcg,",60,"14,55€",
PERSPI,"GUARD, purškiamas antiperspirantas (5 d. apsauga nuo prakaitavimo),",50,"18,99€",
BIOCELL,"2 IN 1, retinolio veido kaukė ir vitamino C serumas, N",1,"5,99€","14,24€"
FORMULA,"VITALE VITAMINAS D 4000TV, Saulės vitaminas, 100 µg ,",120,"15,49€","9,19€"
ALPECIN,"C1, šampūnas su kofeinu nuo plaukų slinkimo,",375,"18,99€","1,80€"
LYSI,"OMEGA-3 FISH OIL+ VITAMIN D3,",120,"11,49€","4,21€"
VITADAY,"MAGNIS SU VITAMINU B6,",60,"5,48€","3,68€"
SOFT-ZELLIN-C ,"spiritinės servetėlės,",100,"2,21€",
AIMX,"BRIGHTEN ME, Greito poveikio skaistinanti veido kaukė su vitaminu C",0,"6,49€",
VITADAY,"KOMPLEKSAS KEPENIMS,",30,"5,48€",
BIOGAIA,"PROTECTIS, 10 kramtomųjų tablečių su vitaminu D",3,"7,19€",
BIO Ca+K+Mg+Zn,"Ca+K+Mg+Zn su vitaminu D3, milteliai,",28,"12,40€",
ESU LAPĖ,"LAPĖ A+D, kremas,",10,"4,34€",
HERBITASSIN ,"gerklės pastilės su šalavijų ekstraktu ir vitaminu C,",12,"2,99€",
SAPIENS ,"forte kolagenas (sąnariams su vit. D),",500,"32,95€",
AMBIO,"IMUNINEI SISTEMAI SU BETA GLIUKANAIS,",30,"8,98€",
AMBIO,"VITAMINAI C ir D SU CINKU,",30,"6,48€",
AMBIO,"IMUNITETUI SU ŠEIVAMEDŽIU IR EŽIUOLE,",20,"9,98€",
AMBIO,"VITAMINAI C 1000 IR D SU CINKU,",30,"10,48€",
LR wonder,"wonder company lūpų balzamas ,,Saldainis"" 4,",5,"3,50€",
URBAN,"FOOD BURNOČIO SĖKLOS,",200,"3,99€",
ACAPPELLA,"putojantis vonios burbulas, Pagyrūnas mandarinas,",1,"4,29€",
URBAN,"FOOD milteliai MOLIŪGŲ MILTELIAI,",100,"5,49€",
URBAN,"FOOD milteliai PETRAŽOLIŲ LAPŲ MILTELIAI,",50,"5,49€",
Ziaja,alyvuogių aliejaus paakių kremas intensyviai drėkinantis,15,"4,79€",
Golden,"Rose Spring Breeze rankų kremas,",50,"4,90€",
Golden,"Rose Nude lūpų daž. Creamy Nr.02, 3.",5,"5,59€","4,19€"
Golden,"Rose Nude lūpų daž. Matte Nr.01, 4.",2,"5,49€","4,12€"
Golden,"Rose lūpų sviestas Green Apple SPF 15,",8,"4,95€","3,71€"
Dvifazis,"akių ir lūpų makiažo valiklis su ožkų pienu vandeniui atsparus,",120,"5,99€","5,24€"
Jazminų,micelinis valomasis vanduo 50+,200,"5,99€","7,64€"
Golden,Rose Miss Beauty Lūpų aliejus Cherry,0,"6,99€","7,98€"
URBAN,"FOOD milteliai DILGĖLIŲ MILTELIAI,",50,"5,49€","8,41€"
Natūralus,augalinis kviečių daigų aliejus,50,"6,99€","8,41€"
QUIES,"apsauginiai ausų kištukai iš poliuretano putos, ryškių spalvų,",3,"6,39€",
URBAN,"FOOD milteliai ARONIJŲ MILTELIAI,",100,"5,99€",
DICLOVIT ,"kietosios kapsulės, N",30,"5,21€",
YOPE,natūralus virtuvės rankų muilas,500,"8,99€",
PLIDENTA,"PRO-BALANCE, dantų pasta,",75,"6,95€",
URBAN,"FOOD milteliai JUODŲJŲ SERBENTŲ MILTELIAI,",100,"6,99€",
YOPE,"Natūralus skystas muilas ""Kedro mediena ir kartusis apelsinas"",",500,"9,39€",
YOPE,"Natūralus rankų kremas ""Šalavijas ir žalieji ikrai"",",100,"9,89€",
YOPE,"Natūralus rankų kremas, ""Arbata ir Mėta"",",100,"9,89€",
URBAN,"FOOD milteliai SVARAINIŲ MILTELIAI (be sėklų),",100,"8,49€",
URBAN,"FOOD milteliai BRUKNIŲ MILTELIAI,",100,"8,49€",
URBAN,"FOOD milteliai BRAŠKIŲ MILTELIAI,",100,"14,00€",
MARTIS,RESPECT ilgalaikiai plaukų dažai be amoniako Nr.,26,"13,99€",
EQUACARE,Dušo gelio rinkinys,0,"18,39€",
URBAN,"FOOD milteliai BURNOČIO SĖKLŲ MILTELIAI,",100,"2,69€",
EARTH,"LINE Aloe Vera Pėdų kremas, minkštinamasis, visų tipų odai,",100,"15,99€",
EQUA,"gertuvė BIRDS 600 ml, plastikinė,",1,"13,00€",
SEA LINE,LINE Dead Sea Treatment Acno Dieninis ir naktinis kremas,75,"16,99€",
GREENICE,"PARODONT ACTIVE, burnos skalavimo skystis,",300,"3,29€",
EARTH,"LINE Aloe Vera Rankų kremas, drėkinantis, apsaugantis, visų tipų odai,",200,"19,95€",
LR wonder,wonder company veido serumas su asilų pienu,30,"19,99€",
SEA LINE,LINE Dead Sea Treatment Mineralinis veido ir kūno losjonas,200,"19,99€",
EARTH,LINE Argan Repair Odos aliejus,200,"21,95€",
Natūralus,nagų stiprinimui skirtas aliejus,10,"3,50€",
Ziaja,"men drėkinanti raminanti dušo želė,",300,"3,50€",
EARTH,"LINE White Tea Lift Intense 40+ Dieninis ir naktinis kremas, stangrinantis, drėkinantis,",50,"23,99€",
ACAPPELLA,"putojantis vonios burbulas, Išdykusi vyšnia,",1,"4,29€",
ACAPPELLA,"putojantis vonios burbulas, Saulės nubučiuoti,",1,"4,29€",
ACAPPELLA,"putojantis vonios burbulas, Išsipūtęs burbulas,",1,"4,29€",
Ziaja,"jūros dumblių dušo želė su dumbliais,",500,"3,99€",
EQUILIBRA,"aminorūgštys BCAA (BRANCHED-CHAIN AMINO ACIDS),",100,"29,95€",
EQUA,"gertuvė ACTIVE MINT, stiklinė,",1,"23,00€",
EQUA,"gertuvė MISMATCH BLOOM, stiklinė,",1,"23,00€",
EQUA,"gertuvė ESPRIT PEACH TREE, stiklinė,",1,"23,00€",
URBAN,"FOOD milteliai BUROKĖLIŲ MILTELIAI,",100,"4,99€",
H DROP,DROP,5,"29,50€",
EQUA,"termo puodelis BUTTER, nerūdijantis plienas,",1,"31,69€",
URBAN,"FOOD milteliai DILGĖLIŲ MILTELIAI - EKOLOGIŠKI,",50,"6,99€",
MARTIDERM,"PHOTO-AGE HA+ veido ampulės prieš foto senėjimą su hialurono rūgštimi,",10,"44,99€",
EQUA,"termo gertuvė TIMELESS LATTE, nerūdijantis plienas,",1,"36,29€",
Olimp,BCAA Xplode Citrinų Skonio Milteliai,500,"38,00€","7,98€"
QUIES,"apsauginiai ausų kištukai iš poliuretano putos (mini),",3,"6,39€","16,00€"
Olimp,Redweiler Mėlynių Skonio,480,"45,00€","6,79€"
URBAN,"FOOD milteliai ŠALTMĖTĖS LAPŲ MILTELIAI - EKOLOGIŠKI,",50,"6,99€","6,79€"
Ziaja,"men 2 in 1 duo želė + šampūnas,",300,"3,19€",
YOPE,"Natūrali regeneruojanti dušo želė, ""Kiniška arbata"",",400,"9,39€",
LR wonder,"wonder company lūpų balzamas ,,šokoladas"" 4,",5,"3,50€",
ACAPPELLA,"putojantis vonios burbulas, Šokančios uogytės,",1,"4,29€",
QUIES,"apsauginiai ausų kištukai iš skaidraus silikono,",3,"10,55€",
MARTIS,RESPECT ilgalaikiai plaukų dažai be amoniako Nr.,3,"13,99€",
FORTRANS ,"milteliai geriamajam tirpalui, N",4,"10,00€",
